Country,Country Code,Continent,Region,Year,Emissions_Per_Capita,Emissions
Afghanistan,4,Asia,Southern Asia,2020,1.28,0.036
Afghanistan,4,Asia,Southern Asia,2020,1.445,0.043
Afghanistan,4,Asia,Southern Asia,2020,1.689,0.079
Afghanistan,4,Asia,Southern Asia,2020,1.843,0.093
Afghanistan,4,Asia,Southern Asia,2020,1.327,0.065
Afghanistan,4,Asia,Southern Asia,2020,1.018,0.061
Afghanistan,4,Asia,Southern Asia,2020,0.893,0.061
Afghanistan,4,Asia,Southern Asia,2020,0.681,0.061
Afghanistan,4,Asia,Southern Asia,2020,0.585,0.054
Afghanistan,4,Asia,Southern Asia,2020,0.452,0.032
Afghanistan,4,Asia,Southern Asia,2020,0.466,0.029
Afghanistan,4,Asia,Southern Asia,2020,0.57,0.029
Afghanistan,4,Asia,Southern Asia,2020,0.531,0.025
Afghanistan,4,Asia,Southern Asia,2020,0.577,0.025
Afghanistan,4,Asia,Southern Asia,2020,0.914,0.036
Afghanistan,4,Asia,Southern Asia,2020,1.191,0.047
Afghanistan,4,Asia,Southern Asia,2020,1.162,0.043
Afghanistan,4,Asia,Southern Asia,2020,1.079,0.039
Afghanistan,4,Asia,Southern Asia,2020,1.018,0.039
Afghanistan,4,Asia,Southern Asia,2020,1.14,0.039
Afghanistan,4,Asia,Southern Asia,2020,1.209,0.039
Afghanistan,4,Asia,Southern Asia,2020,1.14,0.029
Afghanistan,4,Asia,Southern Asia,2020,0.997,0.036
Afghanistan,4,Asia,Southern Asia,2020,1.058,0.029
Afghanistan,4,Asia,Southern Asia,2020,1.115,0.057
Afghanistan,4,Asia,Southern Asia,2020,1.076,0.057
Afghanistan,4,Asia,Southern Asia,2020,0.993,0.061
Afghanistan,4,Asia,Southern Asia,2020,0.997,0.061
Afghanistan,4,Asia,Southern Asia,2020,1.176,0.075
Afghanistan,4,Asia,Southern Asia,2020,1.083,0.068
Afghanistan,4,Asia,Southern Asia,2020,1.008,0.068
Afghanistan,4,Asia,Southern Asia,2020,1.04,0.036
Afghanistan,4,Asia,Southern Asia,2020,1.069,0.054
Afghanistan,4,Asia,Southern Asia,2020,1.087,0.05
Afghanistan,4,Asia,Southern Asia,2020,0.979,0.057
Afghanistan,4,Asia,Southern Asia,2020,0.656,0.043
Afghanistan,4,Asia,Southern Asia,2020,0.592,0.043
Afghanistan,4,Asia,Southern Asia,2020,0.567,0.047
Afghanistan,4,Asia,Southern Asia,2020,0.441,0.043
Afghanistan,4,Asia,Southern Asia,2020,0.412,0.025
Afghanistan,4,Asia,Southern Asia,2020,0.373,0.025
Afghanistan,4,Asia,Southern Asia,2020,0.377,0.032
Afghanistan,4,Asia,Southern Asia,2020,0.409,0.032
Afghanistan,4,Asia,Southern Asia,2020,0.656,0.036
Afghanistan,4,Asia,Southern Asia,2020,0.832,0.032
Afghanistan,4,Asia,Southern Asia,2020,1.004,0.039
Afghanistan,4,Asia,Southern Asia,2020,1.187,0.043
Afghanistan,4,Asia,Southern Asia,2020,1.445,0.05
Afghanistan,4,Asia,Southern Asia,2020,1.456,0.039
